REF_DATE,GEO,Custodial admissions,Indigenous identity,VALUE
2001/2002,Yukon,"Total, custodial admissions",Indigenous identity,462
2001/2002,Yukon,"Total, custodial admissions",Non-Indigenous identity,165
2001/2002,Yukon,"Total, custodial admissions",Indigenous identity unknown,0
2001/2002,Yukon,Sentenced,"Total, custodial admissions by Indigenous identity",280
2001/2002,Yukon,Sentenced,Indigenous identity,214
2001/2002,Yukon,Sentenced,Non-Indigenous identity,66
2001/2002,Yukon,Sentenced,Indigenous identity unknown,0
2001/2002,Yukon,Remand,"Total, custodial admissions by Indigenous identity",323
2001/2002,Yukon,Remand,Indigenous identity,241
2001/2002,Yukon,Remand,Non-Indigenous identity,82
2001/2002,Yukon,Remand,Indigenous identity unknown,0
2001/2002,Yukon,Other custodial statuses,"Total, custodial admissions by Indigenous identity",24
2001/2002,Yukon,Other custodial statuses,Indigenous identity,7
2001/2002,Yukon,Other custodial statuses,Non-Indigenous identity,17
2001/2002,Yukon,Other custodial statuses,Indigenous identity unknown,0
2001/2002,Northwest Territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",812
2001/2002,Northwest Territories,"Total, custodial admissions",Indigenous identity,729
2001/2002,Northwest Territories,"Total, custodial admissions",Non-Indigenous identity,82
2001/2002,Northwest Territories,"Total, custodial admissions",Indigenous identity unknown,1
2001/2002,Northwest Territories,Sentenced,"Total, custodial admissions by Indigenous identity",562
2001/2002,Northwest Territories,Sentenced,Indigenous identity,504
2001/2002,Northwest Territories,Sentenced,Non-Indigenous identity,57
2001/2002,Northwest Territories,Sentenced,Indigenous identity unknown,1
2001/2002,Northwest Territories,Remand,"Total, custodial admissions by Indigenous identity",237
2001/2002,Northwest Territories,Remand,Indigenous identity,213
2001/2002,Northwest Territories,Remand,Non-Indigenous identity,24
2001/2002,Northwest Territories,Remand,Indigenous identity unknown,0
2001/2002,Northwest Territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",13
2001/2002,Northwest Territories,Other custodial statuses,Indigenous identity,12
2001/2002,Northwest Territories,Other custodial statuses,Non-Indigenous identity,1
2001/2002,Northwest Territories,Other custodial statuses,Indigenous identity unknown,0
2001/2002,Nunavut,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",531
2001/2002,Nunavut,"Total, custodial admissions",Indigenous identity,505
2001/2002,Nunavut,"Total, custodial admissions",Non-Indigenous identity,0
2001/2002,Nunavut,"Total, custodial admissions",Indigenous identity unknown,26
2001/2002,Nunavut,Sentenced,"Total, custodial admissions by Indigenous identity",313
2001/2002,Nunavut,Sentenced,Indigenous identity,301
2001/2002,Nunavut,Sentenced,Non-Indigenous identity,0
2001/2002,Nunavut,Sentenced,Indigenous identity unknown,12
2001/2002,Nunavut,Remand,"Total, custodial admissions by Indigenous identity",218
2001/2002,Nunavut,Remand,Indigenous identity,204
2001/2002,Nunavut,Remand,Non-Indigenous identity,0
2001/2002,Nunavut,Remand,Indigenous identity unknown,14
2002/2003,All Provinces and territories,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",211092
2002/2003,All Provinces and territories,"Total, custodial admissions",Indigenous identity,36179
2002/2003,All Provinces and territories,"Total, custodial admissions",Non-Indigenous identity,173244
2002/2003,All Provinces and territories,"Total, custodial admissions",Indigenous identity unknown,1669
2002/2003,All Provinces and territories,Sentenced,"Total, custodial admissions by Indigenous identity",69033
2002/2003,All Provinces and territories,Sentenced,Indigenous identity,11433
2002/2003,All Provinces and territories,Sentenced,Non-Indigenous identity,57196
2002/2003,All Provinces and territories,Sentenced,Indigenous identity unknown,404
2002/2003,All Provinces and territories,Remand,"Total, custodial admissions by Indigenous identity",115521
2002/2003,All Provinces and territories,Remand,Indigenous identity,18586
2002/2003,All Provinces and territories,Remand,Non-Indigenous identity,96104
2002/2003,All Provinces and territories,Remand,Indigenous identity unknown,831
2002/2003,All Provinces and territories,Other custodial statuses,"Total, custodial admissions by Indigenous identity",26538
2002/2003,All Provinces and territories,Other custodial statuses,Indigenous identity,6160
2002/2003,All Provinces and territories,Other custodial statuses,Non-Indigenous identity,19944
2002/2003,All Provinces and territories,Other custodial statuses,Indigenous identity unknown,434
2002/2003,Newfoundland and Labrador,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",1675
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity,115
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",Non-Indigenous identity,1560
2002/2003,Newfoundland and Labrador,"Total, custodial admissions",Indigenous identity unknown,0
2002/2003,Newfoundland and Labrador,Sentenced,"Total, custodial admissions by Indigenous identity",1148
2002/2003,Newfoundland and Labrador,Sentenced,Indigenous identity,71
2002/2003,Newfoundland and Labrador,Sentenced,Non-Indigenous identity,1077
2002/2003,Newfoundland and Labrador,Sentenced,Indigenous identity unknown,0
2002/2003,Newfoundland and Labrador,Remand,"Total, custodial admissions by Indigenous identity",427
2002/2003,Newfoundland and Labrador,Remand,Indigenous identity,44
2002/2003,Newfoundland and Labrador,Remand,Non-Indigenous identity,383
2002/2003,Newfoundland and Labrador,Remand,Indigenous identity unknown,0
2002/2003,Newfoundland and Labrador,Other custodial statuses,"Total, custodial admissions by Indigenous identity",100
2002/2003,Newfoundland and Labrador,Other custodial statuses,Indigenous identity,0
2002/2003,Newfoundland and Labrador,Other custodial statuses,Non-Indigenous identity,100
2002/2003,Newfoundland and Labrador,Other custodial statuses,Indigenous identity unknown,0
2002/2003,Prince Edward Island,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",859
2002/2003,Prince Edward Island,"Total, custodial admissions",Indigenous identity,44
2002/2003,Prince Edward Island,"Total, custodial admissions",Non-Indigenous identity,815
2002/2003,Prince Edward Island,"Total, custodial admissions",Indigenous identity unknown,0
2002/2003,Prince Edward Island,Sentenced,"Total, custodial admissions by Indigenous identity",594
2002/2003,Prince Edward Island,Sentenced,Indigenous identity,16
2002/2003,Prince Edward Island,Sentenced,Non-Indigenous identity,578
2002/2003,Prince Edward Island,Sentenced,Indigenous identity unknown,0
2002/2003,Prince Edward Island,Remand,"Total, custodial admissions by Indigenous identity",265
2002/2003,Prince Edward Island,Remand,Indigenous identity,28
2002/2003,Prince Edward Island,Remand,Non-Indigenous identity,237
2002/2003,Prince Edward Island,Remand,Indigenous identity unknown,0
2002/2003,Prince Edward Island,Other custodial statuses,"Total, custodial admissions by Indigenous identity",
2002/2003,Prince Edward Island,Other custodial statuses,Indigenous identity,
2002/2003,Prince Edward Island,Other custodial statuses,Non-Indigenous identity,
2002/2003,Prince Edward Island,Other custodial statuses,Indigenous identity unknown,
2002/2003,Nova Scotia,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",3840
2002/2003,Nova Scotia,"Total, custodial admissions",Indigenous identity,258
2002/2003,Nova Scotia,"Total, custodial admissions",Non-Indigenous identity,3582
2002/2003,Nova Scotia,"Total, custodial admissions",Indigenous identity unknown,0
2002/2003,Nova Scotia,Sentenced,"Total, custodial admissions by Indigenous identity",1550
2002/2003,Nova Scotia,Sentenced,Indigenous identity,102
2002/2003,Nova Scotia,Sentenced,Non-Indigenous identity,1448
2002/2003,Nova Scotia,Sentenced,Indigenous identity unknown,0
2002/2003,Nova Scotia,Remand,"Total, custodial admissions by Indigenous identity",1949
2002/2003,Nova Scotia,Remand,Indigenous identity,135
2002/2003,Nova Scotia,Remand,Non-Indigenous identity,1814
2002/2003,Nova Scotia,Remand,Indigenous identity unknown,0
2002/2003,Nova Scotia,Other custodial statuses,"Total, custodial admissions by Indigenous identity",341
2002/2003,Nova Scotia,Other custodial statuses,Indigenous identity,21
2002/2003,Nova Scotia,Other custodial statuses,Non-Indigenous identity,320
2002/2003,Nova Scotia,Other custodial statuses,Indigenous identity unknown,0
2002/2003,New Brunswick,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",4348
2002/2003,New Brunswick,"Total, custodial admissions",Indigenous identity,361
2002/2003,New Brunswick,"Total, custodial admissions",Non-Indigenous identity,3955
2002/2003,New Brunswick,"Total, custodial admissions",Indigenous identity unknown,32
2002/2003,New Brunswick,Sentenced,"Total, custodial admissions by Indigenous identity",2454
2002/2003,New Brunswick,Sentenced,Indigenous identity,191
2002/2003,New Brunswick,Sentenced,Non-Indigenous identity,2240
2002/2003,New Brunswick,Sentenced,Indigenous identity unknown,23
2002/2003,New Brunswick,Remand,"Total, custodial admissions by Indigenous identity",1358
2002/2003,New Brunswick,Remand,Indigenous identity,130
2002/2003,New Brunswick,Remand,Non-Indigenous identity,1224
2002/2003,New Brunswick,Remand,Indigenous identity unknown,4
2002/2003,New Brunswick,Other custodial statuses,"Total, custodial admissions by Indigenous identity",536
2002/2003,New Brunswick,Other custodial statuses,Indigenous identity,40
2002/2003,New Brunswick,Other custodial statuses,Non-Indigenous identity,491
2002/2003,New Brunswick,Other custodial statuses,Indigenous identity unknown,5
2002/2003,Quebec,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",43080
2002/2003,Quebec,"Total, custodial admissions",Indigenous identity,1258
2002/2003,Quebec,"Total, custodial admissions",Non-Indigenous identity,41083
2002/2003,Quebec,"Total, custodial admissions",Indigenous identity unknown,739
2002/2003,Quebec,Sentenced,"Total, custodial admissions by Indigenous identity",13423
2002/2003,Quebec,Sentenced,Indigenous identity,296
2002/2003,Quebec,Sentenced,Non-Indigenous identity,12964
2002/2003,Quebec,Sentenced,Indigenous identity unknown,163
2002/2003,Quebec,Remand,"Total, custodial admissions by Indigenous identity",26588
2002/2003,Quebec,Remand,Indigenous identity,912
2002/2003,Quebec,Remand,Non-Indigenous identity,25135
2002/2003,Quebec,Remand,Indigenous identity unknown,541
2002/2003,Quebec,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3069
2002/2003,Quebec,Other custodial statuses,Indigenous identity,50
2002/2003,Quebec,Other custodial statuses,Non-Indigenous identity,2984
2002/2003,Quebec,Other custodial statuses,Indigenous identity unknown,35
2002/2003,Ontario,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",94694
2002/2003,Ontario,"Total, custodial admissions",Indigenous identity,7949
2002/2003,Ontario,"Total, custodial admissions",Non-Indigenous identity,86745
2002/2003,Ontario,"Total, custodial admissions",Indigenous identity unknown,0
2002/2003,Ontario,Sentenced,"Total, custodial admissions by Indigenous identity",33050
2002/2003,Ontario,Sentenced,Indigenous identity,3007
2002/2003,Ontario,Sentenced,Non-Indigenous identity,30043
2002/2003,Ontario,Sentenced,Indigenous identity unknown,0
2002/2003,Ontario,Remand,"Total, custodial admissions by Indigenous identity",58470
2002/2003,Ontario,Remand,Indigenous identity,4805
2002/2003,Ontario,Remand,Non-Indigenous identity,53665
2002/2003,Ontario,Remand,Indigenous identity unknown,0
2002/2003,Ontario,Other custodial statuses,"Total, custodial admissions by Indigenous identity",3174
2002/2003,Ontario,Other custodial statuses,Indigenous identity,137
2002/2003,Ontario,Other custodial statuses,Non-Indigenous identity,3037
2002/2003,Ontario,Other custodial statuses,Indigenous identity unknown,0
2002/2003,Manitoba,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",18014
2002/2003,Manitoba,"Total, custodial admissions",Indigenous identity,11238
2002/2003,Manitoba,"Total, custodial admissions",Non-Indigenous identity,6776
2002/2003,Manitoba,"Total, custodial admissions",Indigenous identity unknown,0
2002/2003,Manitoba,Sentenced,"Total, custodial admissions by Indigenous identity",3316
2002/2003,Manitoba,Sentenced,Indigenous identity,2246
2002/2003,Manitoba,Sentenced,Non-Indigenous identity,1070
2002/2003,Manitoba,Sentenced,Indigenous identity unknown,0
2002/2003,Manitoba,Remand,"Total, custodial admissions by Indigenous identity",8615
2002/2003,Manitoba,Remand,Indigenous identity,5485
2002/2003,Manitoba,Remand,Non-Indigenous identity,3130
2002/2003,Manitoba,Remand,Indigenous identity unknown,0
2002/2003,Manitoba,Other custodial statuses,"Total, custodial admissions by Indigenous identity",6083
2002/2003,Manitoba,Other custodial statuses,Indigenous identity,3507
2002/2003,Manitoba,Other custodial statuses,Non-Indigenous identity,2576
2002/2003,Manitoba,Other custodial statuses,Indigenous identity unknown,0
2002/2003,Saskatchewan,"Total, custodial admissions","Total, custodial admissions by Indigenous identity",9244
2002/2003,Saskatchewan,"Total, custodial admissions",Indigenous identity,6999
2002/2003,Saskatchewan,"Total, custodial admissions",Non-Indigenous identity,2118
2002/2003,Saskatchewan,"Total, custodial admissions",Indigenous identity unknown,127
2002/2003,Saskatchewan,Sentenced,"Total, custodial admissions by Indigenous identity",3536
2002/2003,Saskatchewan,Sentenced,Indigenous identity,2739
2002/2003,Saskatchewan,Sentenced,Non-Indigenous identity,759
2002/2003,Saskatchewan,Sentenced,Indigenous identity unknown,38
2002/2003,Saskatchewan,Remand,"Total, custodial admissions by Indigenous identity",5518
2002/2003,Saskatchewan,Remand,Indigenous identity,4145
2002/2003,Saskatchewan,Remand,Non-Indigenous identity,1288
