REF_DATE,GEO,Sex,Sentence length ordered,VALUE
2000/2001,Northwest Territories,Sex unknown,Greater than 3 months to 6 months,0
2000/2001,Northwest Territories,Sex unknown,Greater than 6 months to 12 months,0
2000/2001,Northwest Territories,Sex unknown,Greater than 12 to less than 24 months,0
2000/2001,Northwest Territories,Sex unknown,24 months or more,0
2000/2001,Northwest Territories,Sex unknown,Unknown sentence length ordered,0
2000/2001,Nunavut,"Total, custodial admission by sex","Total, sentence length ordered",229
2000/2001,Nunavut,"Total, custodial admission by sex",1 month or less,
2000/2001,Nunavut,"Total, custodial admission by sex",Greater than 1 month to 3 months,
2000/2001,Nunavut,"Total, custodial admission by sex",Greater than 3 months to 6 months,
2000/2001,Nunavut,"Total, custodial admission by sex",Greater than 6 months to 12 months,
2000/2001,Nunavut,"Total, custodial admission by sex",Greater than 12 to less than 24 months,
2000/2001,Nunavut,"Total, custodial admission by sex",24 months or more,
2000/2001,Nunavut,"Total, custodial admission by sex",Unknown sentence length ordered,229
2000/2001,Nunavut,"Total, custodial admission by sex",Median sentence length ordered,
2000/2001,Nunavut,Male,"Total, sentence length ordered",
2000/2001,Nunavut,Male,1 month or less,
2000/2001,Nunavut,Male,Greater than 1 month to 3 months,
2000/2001,Nunavut,Male,Greater than 3 months to 6 months,
2000/2001,Nunavut,Male,Greater than 6 months to 12 months,
2000/2001,Nunavut,Male,Greater than 12 to less than 24 months,
2000/2001,Nunavut,Male,24 months or more,
2000/2001,Nunavut,Male,Unknown sentence length ordered,
2000/2001,Nunavut,Male,Median sentence length ordered,
2000/2001,Nunavut,Female,"Total, sentence length ordered",
2000/2001,Nunavut,Female,1 month or less,
2000/2001,Nunavut,Female,Greater than 1 month to 3 months,
2000/2001,Nunavut,Female,Greater than 3 months to 6 months,
2000/2001,Nunavut,Female,Greater than 6 months to 12 months,
2000/2001,Nunavut,Female,Greater than 12 to less than 24 months,
2000/2001,Nunavut,Female,24 months or more,
2000/2001,Nunavut,Female,Unknown sentence length ordered,
2000/2001,Nunavut,Female,Median sentence length ordered,
2000/2001,Nunavut,Sex unknown,"Total, sentence length ordered",229
2000/2001,Nunavut,Sex unknown,1 month or less,
2000/2001,Nunavut,Sex unknown,Greater than 1 month to 3 months,
2000/2001,Nunavut,Sex unknown,Greater than 3 months to 6 months,
2000/2001,Nunavut,Sex unknown,Greater than 6 months to 12 months,
2000/2001,Nunavut,Sex unknown,Greater than 12 to less than 24 months,
2000/2001,Nunavut,Sex unknown,24 months or more,
2000/2001,Nunavut,Sex unknown,Unknown sentence length ordered,229
2001/2002,All Provinces and territories,"Total, custodial admission by sex","Total, sentence length ordered",68087
2001/2002,All Provinces and territories,"Total, custodial admission by sex",1 month or less,28188
2001/2002,All Provinces and territories,"Total, custodial admission by sex",Greater than 1 month to 3 months,15996
2001/2002,All Provinces and territories,"Total, custodial admission by sex",Greater than 3 months to 6 months,7316
2001/2002,All Provinces and territories,"Total, custodial admission by sex",Greater than 6 months to 12 months,3936
2001/2002,All Provinces and territories,"Total, custodial admission by sex",Greater than 12 to less than 24 months,2017
2001/2002,All Provinces and territories,"Total, custodial admission by sex",24 months or more,2228
2001/2002,All Provinces and territories,"Total, custodial admission by sex",Unknown sentence length ordered,8406
2001/2002,All Provinces and territories,Male,"Total, sentence length ordered",62174
2001/2002,All Provinces and territories,Male,1 month or less,24893
2001/2002,All Provinces and territories,Male,Greater than 1 month to 3 months,14868
2001/2002,All Provinces and territories,Male,Greater than 3 months to 6 months,6870
2001/2002,All Provinces and territories,Male,Greater than 6 months to 12 months,3760
2001/2002,All Provinces and territories,Male,Greater than 12 to less than 24 months,1943
2001/2002,All Provinces and territories,Male,24 months or more,2100
2001/2002,All Provinces and territories,Male,Unknown sentence length ordered,7740
2001/2002,All Provinces and territories,Female,"Total, sentence length ordered",5906
2001/2002,All Provinces and territories,Female,1 month or less,3293
2001/2002,All Provinces and territories,Female,Greater than 1 month to 3 months,1127
2001/2002,All Provinces and territories,Female,Greater than 3 months to 6 months,445
2001/2002,All Provinces and territories,Female,Greater than 6 months to 12 months,174
2001/2002,All Provinces and territories,Female,Greater than 12 to less than 24 months,74
2001/2002,All Provinces and territories,Female,24 months or more,127
2001/2002,All Provinces and territories,Female,Unknown sentence length ordered,666
2001/2002,All Provinces and territories,Sex unknown,"Total, sentence length ordered",7
2001/2002,All Provinces and territories,Sex unknown,1 month or less,2
2001/2002,All Provinces and territories,Sex unknown,Greater than 1 month to 3 months,1
2001/2002,All Provinces and territories,Sex unknown,Greater than 3 months to 6 months,1
2001/2002,All Provinces and territories,Sex unknown,Greater than 6 months to 12 months,2
2001/2002,All Provinces and territories,Sex unknown,Greater than 12 to less than 24 months,0
2001/2002,All Provinces and territories,Sex unknown,24 months or more,1
2001/2002,All Provinces and territories,Sex unknown,Unknown sentence length ordered,0
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex","Total, sentence length ordered",1235
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex",1 month or less,345
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 1 month to 3 months,345
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 3 months to 6 months,268
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 6 months to 12 months,110
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex",Greater than 12 to less than 24 months,25
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex",24 months or more,1
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex",Unknown sentence length ordered,141
2001/2002,Newfoundland and Labrador,"Total, custodial admission by sex",Median sentence length ordered,61
2001/2002,Newfoundland and Labrador,Male,"Total, sentence length ordered",1174
2001/2002,Newfoundland and Labrador,Male,1 month or less,321
2001/2002,Newfoundland and Labrador,Male,Greater than 1 month to 3 months,328
2001/2002,Newfoundland and Labrador,Male,Greater than 3 months to 6 months,257
2001/2002,Newfoundland and Labrador,Male,Greater than 6 months to 12 months,106
2001/2002,Newfoundland and Labrador,Male,Greater than 12 to less than 24 months,24
2001/2002,Newfoundland and Labrador,Male,24 months or more,1
2001/2002,Newfoundland and Labrador,Male,Unknown sentence length ordered,137
2001/2002,Newfoundland and Labrador,Female,"Total, sentence length ordered",61
2001/2002,Newfoundland and Labrador,Female,1 month or less,24
2001/2002,Newfoundland and Labrador,Female,Greater than 1 month to 3 months,17
2001/2002,Newfoundland and Labrador,Female,Greater than 3 months to 6 months,11
2001/2002,Newfoundland and Labrador,Female,Greater than 6 months to 12 months,4
2001/2002,Newfoundland and Labrador,Female,Greater than 12 to less than 24 months,1
2001/2002,Newfoundland and Labrador,Female,24 months or more,0
2001/2002,Newfoundland and Labrador,Female,Unknown sentence length ordered,4
2001/2002,Newfoundland and Labrador,Sex unknown,"Total, sentence length ordered",0
2001/2002,Newfoundland and Labrador,Sex unknown,1 month or less,0
2001/2002,Newfoundland and Labrador,Sex unknown,Greater than 1 month to 3 months,0
2001/2002,Newfoundland and Labrador,Sex unknown,Greater than 3 months to 6 months,0
2001/2002,Newfoundland and Labrador,Sex unknown,Greater than 6 months to 12 months,0
2001/2002,Newfoundland and Labrador,Sex unknown,Greater than 12 to less than 24 months,0
2001/2002,Newfoundland and Labrador,Sex unknown,24 months or more,0
2001/2002,Newfoundland and Labrador,Sex unknown,Unknown sentence length ordered,0
2001/2002,Prince Edward Island,"Total, custodial admission by sex","Total, sentence length ordered",650
2001/2002,Prince Edward Island,"Total, custodial admission by sex",1 month or less,425
2001/2002,Prince Edward Island,"Total, custodial admission by sex",Greater than 1 month to 3 months,148
2001/2002,Prince Edward Island,"Total, custodial admission by sex",Greater than 3 months to 6 months,50
2001/2002,Prince Edward Island,"Total, custodial admission by sex",Greater than 6 months to 12 months,13
2001/2002,Prince Edward Island,"Total, custodial admission by sex",Greater than 12 to less than 24 months,6
2001/2002,Prince Edward Island,"Total, custodial admission by sex",24 months or more,4
2001/2002,Prince Edward Island,"Total, custodial admission by sex",Unknown sentence length ordered,4
2001/2002,Prince Edward Island,Male,"Total, sentence length ordered",605
2001/2002,Prince Edward Island,Male,1 month or less,391
2001/2002,Prince Edward Island,Male,Greater than 1 month to 3 months,139
2001/2002,Prince Edward Island,Male,Greater than 3 months to 6 months,48
2001/2002,Prince Edward Island,Male,Greater than 6 months to 12 months,13
2001/2002,Prince Edward Island,Male,Greater than 12 to less than 24 months,6
2001/2002,Prince Edward Island,Male,24 months or more,4
2001/2002,Prince Edward Island,Male,Unknown sentence length ordered,4
2001/2002,Prince Edward Island,Female,"Total, sentence length ordered",45
2001/2002,Prince Edward Island,Female,1 month or less,34
2001/2002,Prince Edward Island,Female,Greater than 1 month to 3 months,9
2001/2002,Prince Edward Island,Female,Greater than 3 months to 6 months,2
2001/2002,Prince Edward Island,Female,Greater than 6 months to 12 months,0
2001/2002,Prince Edward Island,Female,Greater than 12 to less than 24 months,0
2001/2002,Prince Edward Island,Female,24 months or more,0
2001/2002,Prince Edward Island,Female,Unknown sentence length ordered,0
2001/2002,Prince Edward Island,Sex unknown,"Total, sentence length ordered",0
2001/2002,Prince Edward Island,Sex unknown,1 month or less,0
2001/2002,Prince Edward Island,Sex unknown,Greater than 1 month to 3 months,0
2001/2002,Prince Edward Island,Sex unknown,Greater than 3 months to 6 months,0
2001/2002,Prince Edward Island,Sex unknown,Greater than 6 months to 12 months,0
2001/2002,Prince Edward Island,Sex unknown,Greater than 12 to less than 24 months,0
2001/2002,Prince Edward Island,Sex unknown,24 months or more,0
2001/2002,Prince Edward Island,Sex unknown,Unknown sentence length ordered,0
2001/2002,Nova Scotia,"Total, custodial admission by sex","Total, sentence length ordered",1507
2001/2002,Nova Scotia,"Total, custodial admission by sex",1 month or less,533
2001/2002,Nova Scotia,"Total, custodial admission by sex",Greater than 1 month to 3 months,379
2001/2002,Nova Scotia,"Total, custodial admission by sex",Greater than 3 months to 6 months,188
2001/2002,Nova Scotia,"Total, custodial admission by sex",Greater than 6 months to 12 months,121
2001/2002,Nova Scotia,"Total, custodial admission by sex",Greater than 12 to less than 24 months,72
2001/2002,Nova Scotia,"Total, custodial admission by sex",24 months or more,214
2001/2002,Nova Scotia,"Total, custodial admission by sex",Unknown sentence length ordered,0
2001/2002,Nova Scotia,"Total, custodial admission by sex",Median sentence length ordered,70
2001/2002,Nova Scotia,Male,"Total, sentence length ordered",1421
2001/2002,Nova Scotia,Male,1 month or less,493
2001/2002,Nova Scotia,Male,Greater than 1 month to 3 months,355
2001/2002,Nova Scotia,Male,Greater than 3 months to 6 months,178
2001/2002,Nova Scotia,Male,Greater than 6 months to 12 months,118
2001/2002,Nova Scotia,Male,Greater than 12 to less than 24 months,70
2001/2002,Nova Scotia,Male,24 months or more,207
2001/2002,Nova Scotia,Male,Unknown sentence length ordered,0
2001/2002,Nova Scotia,Female,"Total, sentence length ordered",86
2001/2002,Nova Scotia,Female,1 month or less,40
2001/2002,Nova Scotia,Female,Greater than 1 month to 3 months,24
2001/2002,Nova Scotia,Female,Greater than 3 months to 6 months,10
2001/2002,Nova Scotia,Female,Greater than 6 months to 12 months,3
2001/2002,Nova Scotia,Female,Greater than 12 to less than 24 months,2
2001/2002,Nova Scotia,Female,24 months or more,7
2001/2002,Nova Scotia,Female,Unknown sentence length ordered,0
2001/2002,Nova Scotia,Sex unknown,"Total, sentence length ordered",0
2001/2002,Nova Scotia,Sex unknown,1 month or less,0
2001/2002,Nova Scotia,Sex unknown,Greater than 1 month to 3 months,0
2001/2002,Nova Scotia,Sex unknown,Greater than 3 months to 6 months,0
2001/2002,Nova Scotia,Sex unknown,Greater than 6 months to 12 months,0
2001/2002,Nova Scotia,Sex unknown,Greater than 12 to less than 24 months,0
2001/2002,Nova Scotia,Sex unknown,24 months or more,0
2001/2002,Nova Scotia,Sex unknown,Unknown sentence length ordered,0
2001/2002,New Brunswick,"Total, custodial admission by sex","Total, sentence length ordered",1555
2001/2002,New Brunswick,"Total, custodial admission by sex",1 month or less,
2001/2002,New Brunswick,"Total, custodial admission by sex",Greater than 1 month to 3 months,
2001/2002,New Brunswick,"Total, custodial admission by sex",Greater than 3 months to 6 months,
2001/2002,New Brunswick,"Total, custodial admission by sex",Greater than 6 months to 12 months,
2001/2002,New Brunswick,"Total, custodial admission by sex",Greater than 12 to less than 24 months,
2001/2002,New Brunswick,"Total, custodial admission by sex",24 months or more,
2001/2002,New Brunswick,"Total, custodial admission by sex",Unknown sentence length ordered,1555
2001/2002,New Brunswick,"Total, custodial admission by sex",Median sentence length ordered,
2001/2002,New Brunswick,Male,"Total, sentence length ordered",1460
2001/2002,New Brunswick,Male,1 month or less,
2001/2002,New Brunswick,Male,Greater than 1 month to 3 months,
2001/2002,New Brunswick,Male,Greater than 3 months to 6 months,
2001/2002,New Brunswick,Male,Greater than 6 months to 12 months,
2001/2002,New Brunswick,Male,Greater than 12 to less than 24 months,
